ContractPVCName,ResidenceBuildingTypeCode,MonthlyDeviceNumber,TotalOctetReceived,TotalOctetTransmitted,Gender,ReAgreementYesNo,TransferYesNo,WifiSubscriptionYesNo,SalesSmallYesNo,InternetCount,WingsCount,MaxServiceAfscrbPassoverPeriod,MinAgreementExpirationRemainingMonthCount,MaxGeneralConsultationCount,MaxQualityConsultationCount,MaxTermConsultationCount,MaxSaleConsultationCount,MaxFeeConsultationCount,MaxEtcConsultationCount,InternetProductName,AgeGroup,iptv_yn
5,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,0,-1.1791867490392305,-0.1839178886561949,0.3950753158270147,-0.7481566910164584,0,0,0,0,0,0,0,7,1
15,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,0.21840331589871703,-0.7481566910164584,0,0,0,0,0,0,0,3,1
11,3,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,1,0,0,0.8227362047323793,-0.1839178886561949,-1.0986061381122292,2.0522090689863237,0,0,0,0,0,0,2,7,1
3,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,1,-1.1791867490392305,-0.1839178886561949,0.7644804065861825,-0.7481566910164584,0,0,0,0,0,0,0,4,1
8,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,1,-1.1791867490392305,-0.1839178886561949,0.7323582247810375,-0.7481566910164584,0,0,0,0,0,0,0,5,1
1,1,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,0,-1.1791867490392305,-0.1839178886561949,0.5556862248527399,-0.7481566910164584,0,0,0,0,0,0,0,4,1
2,4,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,1,0,1,0.8227362047323793,-0.1839178886561949,1.149946588247923,-0.7481566910164584,0,0,0,0,0,0,2,7,0
11,3,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.873750865476214,0.8641751101972646,0,0,0,0,0,0,0,6,1
8,1,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,1,0,0,2,-1.1791867490392305,-0.1839178886561949,1.471168406299373,-0.7481566910164584,0,0,0,0,0,0,0,4,1
12,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,1,0,1,-1.1791867490392305,-0.1839178886561949,1.1338854973453503,-0.7481566910164584,0,0,0,0,0,0,0,6,1
15,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,1,0,0,0.8227362047323793,-0.1839178886561949,1.7923902243508234,-0.7481566910164584,0,0,0,0,0,0,2,5,1
11,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,1,0,1,0.8227362047323793,-0.1839178886561949,2.4508949513562968,-0.7481566910164584,0,0,0,0,0,0,2,5,0
8,3,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,1,-1.1791867490392305,-0.1839178886561949,0.9893356792221978,-0.7481566910164584,0,0,0,0,0,0,0,5,1
7,1,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,1,0,1,0.8227362047323793,-0.1839178886561949,1.6478404062276708,-0.7481566910164584,0,0,0,0,0,0,4,5,1
1,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,1,-1.1791867490392305,-0.1839178886561949,1.4551073153968006,-0.7481566910164584,0,0,0,0,0,0,0,6,1
15,1,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,1,1,0,0,0.8227362047323793,-0.1839178886561949,1.936940042473976,-0.7481566910164584,0,0,0,0,0,0,2,5,1
7,4,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,1,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.00645195673729816,-0.7481566910164584,0,0,0,0,0,0,0,6,1
4,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,1,0,1,0.8227362047323793,-0.1839178886561949,0.780541497488755,-0.7481566910164584,0,0,0,0,0,0,2,6,0
2,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,1,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.23130722937331336,-0.7481566910164584,0,0,0,0,0,0,0,5,1
1,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.6488955928401987,-0.3238588485917945,0,0,0,0,0,0,0,4,1
8,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.07069632034758822,-0.7481566910164584,0,0,0,0,0,0,0,4,1
11,3,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-1.0343617745019391,1.7127707950465925,0,0,0,0,0,0,0,6,1
2,4,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,0,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.32767377478874843,-0.7481566910164584,0,0,0,0,0,0,0,5,1
1,1,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.11887959305530577,-0.7481566910164584,0,0,0,0,0,0,0,7,1
8,3,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.08675741125016073,-0.7481566910164584,0,0,0,0,0,0,0,4,1
11,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.6970788655479163,-0.06928014313699614,0,0,0,0,0,0,0,7,1
8,1,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.5685901383273362,-0.7481566910164584,0,0,0,0,0,0,0,6,1
13,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.7452621382556338,0.18529856231780223,0,0,0,0,0,0,0,3,1
11,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,1,-1.1791867490392305,-0.1839178886561949,0.74841931568361,-0.7481566910164584,0,0,0,0,0,0,0,6,1
8,4,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,1,0,0,0.8227362047323793,-0.1839178886561949,-0.970117410891649,1.4581920895917941,0,0,0,0,0,0,2,4,0
1,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,0,-1.1791867490392305,-0.1839178886561949,0.154158952288427,-0.7481566910164584,0,0,0,0,0,0,0,3,1
4,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,1,0,0,0,-1.1791867490392305,-0.1839178886561949,0.5075029521450223,-0.7481566910164584,0,0,0,0,0,0,0,3,1
8,3,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,1,0,0,0.8227362047323793,-0.1839178886561949,0.49144186124244976,-0.7481566910164584,0,0,0,0,0,0,4,6,1
8,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,1,0,0,-1.1791867490392305,-0.1839178886561949,0.3950753158270147,-0.7481566910164584,0,0,0,0,0,0,0,7,1
8,3,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,0.20234222499614452,-0.7481566910164584,0,0,0,0,0,0,0,5,1
5,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,1,0,0,-1.1791867490392305,-0.1839178886561949,-1.130728319917374,2.221928205956189,0,0,0,0,0,0,0,5,1
8,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,0.3629531340218697,-0.7481566910164584,0,0,0,0,0,0,0,4,1
13,1,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,0.18628113409357203,-0.7481566910164584,0,0,0,0,0,0,0,5,1
1,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-1.1467894108199468,2.306787774441122,0,0,0,0,0,0,0,5,1
1,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.24736832027588587,-0.7481566910164584,0,0,0,0,0,0,0,6,1
8,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,1,0,1,0.8227362047323793,-0.1839178886561949,2.2260396787202814,-0.7481566910164584,0,0,0,0,0,0,2,5,1
1,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,1,0,0,1,-1.1791867490392305,-0.1839178886561949,1.0214578610273428,-0.7481566910164584,0,0,0,0,0,0,0,5,1
15,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.7934454109633514,0.4398772677726006,0,0,0,0,0,0,0,5,1
1,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.7773843200607788,0.3550176992876678,0,0,0,0,0,0,0,7,1
13,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.2634294111784584,-0.7481566910164584,0,0,0,0,0,0,0,5,1
1,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,1,0,0,-1.1791867490392305,-0.1839178886561949,-0.873750865476214,0.8641751101972646,0,1,0,0,0,0,0,6,1
0,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,1,-1.1791867490392305,-0.1839178886561949,1.3587407699813656,-0.7481566910164584,0,0,0,0,0,0,0,7,1
