ContractPVCName,ResidenceBuildingTypeCode,MonthlyDeviceNumber,TotalOctetReceived,TotalOctetTransmitted,Gender,ReAgreementYesNo,TransferYesNo,WifiSubscriptionYesNo,SalesSmallYesNo,InternetCount,WingsCount,MaxServiceAfscrbPassoverPeriod,MinAgreementExpirationRemainingMonthCount,MaxGeneralConsultationCount,MaxQualityConsultationCount,MaxTermConsultationCount,MaxSaleConsultationCount,MaxFeeConsultationCount,MaxEtcConsultationCount,InternetProductName,AgeGroup,iptv_yn
서울,일반건물,0,0,0,F,N,Y,N,N,0,0,67,0,0,0,0,0,0,0,Unknown,50대,Y
서울,공동주택,0,0,0,M,N,N,N,N,0,0,102,0,0,0,0,0,0,0,Unknown,40대,Y
서울,공동주택,0,0,0,F,N,N,N,Y,0,0,20,17,0,0,0,0,0,0,Unknown,50대,Y
경기,아파트,0,0,0,F,N,N,N,N,0,0,54,0,0,0,0,0,0,0,Unknown,10대,Y
전남,아파트,0,0,0,F,N,N,N,N,0,0,42,0,0,0,0,0,0,0,Unknown,30대,Y
부산,아파트,0,0,0,M,N,N,N,N,0,0,60,0,0,0,0,0,0,0,Unknown,50대,Y
전북,일반건물,0,0,0,F,N,N,N,N,0,0,4,33,0,0,0,0,0,0,Unknown,50대,Y
경기,아파트,0,0,0,F,N,N,N,N,0,0,29,8,0,0,0,0,0,0,Unknown,60대,Y
서울,공동주택,0,0,0,F,N,N,N,Unknown,0,0,162,0,0,0,0,0,0,0,Unknown,60대,Y
부산,아파트,0,0,0,F,N,N,N,Unknown,0,0,126,0,0,0,0,0,0,0,Unknown,40대,Y
인천,아파트,0,0,0,F,N,Y,N,Unknown,1,0,171,0,0,0,0,0,0,0,광랜,70대,N
울산,아파트,0,0,0,M,N,N,N,N,0,0,121,0,0,0,0,0,0,0,Unknown,40대,Y
경북,아파트,0,0,0,M,Y,N,N,N,0,0,90,28,0,0,0,0,0,0,Unknown,40대,Y
경기,아파트,0,0,0,F,N,N,N,N,0,0,70,0,0,0,0,0,0,0,Unknown,60대,Y
대구,아파트,0,0,0,M,N,Y,N,Unknown,1,0,184,0,0,0,0,0,0,0,광랜,50대,N
충북,아파트,0,0,0,F,N,N,N,N,0,0,17,20,0,0,0,0,0,0,Unknown,50대,Y
광주,일반건물,0,0,0,F,N,Y,N,Unknown,1,0,218,0,0,0,0,0,0,0,광랜,60대,N
인천,일반건물,0,0,0,F,N,Y,N,N,1,0,35,2,0,0,0,0,0,0,기가라이트,40대,Y
부산,아파트,0,0,0,M,N,N,N,N,0,0,27,10,0,0,0,0,0,0,Unknown,40대,Y
경기,일반건물,0,0,0,F,N,Y,N,N,0,0,13,24,0,0,0,0,0,0,Unknown,60대,Y
전남,아파트,0,0,0,F,N,Y,N,N,1,0,170,0,0,0,0,0,0,0,광랜,50대,Y
경기,아파트,0,0,0,F,N,Y,N,N,1,0,40,0,0,0,0,0,0,0,광랜,20대,Y
충북,아파트,0,0,0,M,Y,Y,N,Unknown,1,0,177,0,0,0,0,0,0,0,기가라이트,70대,N
전북,아파트,0,0,0,F,N,N,N,N,0,0,87,0,0,0,0,0,0,0,Unknown,40대,Y
서울,아파트,0,0,0,F,N,N,N,N,0,0,114,0,0,0,0,0,0,0,Unknown,60대,Y
경기,공동주택,0,0,0,M,N,N,N,N,0,0,43,0,0,0,0,0,0,0,Unknown,40대,Y
경남,단독주택,0,0,0,M,N,Y,N,Unknown,1,0,172,0,0,0,0,0,0,0,광랜,40대,N
경기,아파트,0,0,0,M,N,N,N,N,0,0,70,0,0,0,0,0,0,0,Unknown,40대,Y
경기,아파트,0,0,0,M,Y,Y,N,N,1,0,64,5,0,0,0,0,0,0,광랜,30대,Y
경기,단독주택,0,0,0,F,N,N,N,N,0,0,64,0,0,0,0,0,0,0,Unknown,60대,Y
경기,아파트,0,0,0,M,N,N,N,N,0,0,109,0,0,0,0,0,0,0,Unknown,50대,Y
경기,아파트,0,0,0,F,N,N,N,N,0,0,60,0,0,0,0,0,0,0,Unknown,50대,Y
대구,아파트,0,0,0,F,N,N,N,N,0,0,46,0,0,0,0,0,0,0,Unknown,50대,Y
경기,아파트,0,0,0,F,N,N,N,N,0,0,32,5,0,0,0,0,0,0,Unknown,50대,Y
경기,아파트,0,0,0,F,N,N,N,N,0,0,99,0,0,0,0,0,0,0,Unknown,50대,Y
경기,아파트,0,0,0,M,N,Y,N,Unknown,1,0,236,0,0,0,0,0,0,0,기가라이트,50대,Y
서울,공동주택,0,0,0,F,Y,N,N,N,0,0,114,0,0,0,0,0,0,0,Unknown,40대,Y
서울,아파트,0,0,0,F,N,Y,N,N,1,0,27,10,0,0,0,0,0,0,광랜,30대,N
서울,공동주택,0,0,0,F,Y,N,N,N,0,0,73,17,0,0,0,0,0,0,Unknown,60대,Y
대구,아파트,0,0,0,M,N,N,N,N,0,0,106,0,0,0,0,0,0,0,Unknown,60대,Y
전남,아파트,0,0,0,F,N,N,N,N,0,0,14,23,0,0,0,0,0,0,Unknown,40대,Y
경북,아파트,0,0,0,M,N,N,N,Y,0,0,10,27,0,0,0,0,0,0,Unknown,70대,Y
경기,아파트,0,0,0,M,Y,Y,N,N,1,0,273,0,0,0,0,0,0,0,광랜,60대,Y
인천,아파트,0,0,0,F,N,Y,N,N,0,0,73,0,0,0,0,0,0,0,Unknown,50대,Y
울산,공동주택,0,0,0,F,Y,N,N,N,0,0,117,0,0,0,0,0,0,0,Unknown,60대,Y
서울,공동주택,0,0,0,F,N,N,N,Unknown,0,0,118,0,0,0,0,0,0,0,Unknown,30대,Y
서울,아파트,0,0,0,F,N,Y,N,Unknown,1,0,162,0,0,0,0,0,0,0,광랜,80대,N
충남,아파트,0,0,0,M,N,N,N,Unknown,0,0,119,0,0,0,0,0,0,0,Unknown,30대,Y
서울,아파트,0,0,0,M,Y,N,N,Y,0,0,140,0,0,0,0,0,0,0,Unknown,70대,Y
부산,아파트,0,0,0,F,N,N,N,N,0,0,4,33,0,0,0,0,0,0,Unknown,40대,Y
경남,아파트,0,0,0,M,N,N,N,N,0,0,24,13,0,0,0,0,0,0,Unknown,60대,Y
경기,공동주택,0,0,0,M,N,Y,N,N,1,0,24,12,0,0,0,0,0,0,기가,50대,Y
경기,아파트,0,0,0,F,N,Y,N,N,1,0,67,0,0,0,0,0,0,0,광랜,60대,Y
서울,아파트,0,0,0,M,N,N,N,N,0,0,55,0,0,0,0,0,0,0,Unknown,60대,Y
대전,아파트,0,0,0,F,N,Y,N,N,1,0,25,12,0,0,0,0,0,0,광랜,20대,Y
경기,아파트,0,0,0,M,N,N,N,N,0,0,49,0,0,0,0,0,0,0,Unknown,50대,Y
광주,일반건물,0,0,0,M,N,N,N,N,0,0,108,0,0,0,0,0,0,0,Unknown,50대,Y
서울,아파트,0,0,0,M,N,N,N,N,0,0,18,19,0,0,0,0,0,0,Unknown,40대,Y
경기,아파트,0,0,0,F,N,N,N,N,0,0,58,0,0,0,0,0,0,0,Unknown,30대,Y
강원,아파트,0,0,0,M,N,N,N,Unknown,0,0,159,0,0,0,0,0,0,0,Unknown,50대,Y
서울,단독주택,0,0,0,F,Y,N,N,Unknown,1,0,270,0,0,0,0,0,0,0,광랜,50대,N
경기,아파트,0,0,0,M,N,N,N,N,0,0,104,0,0,0,0,0,0,0,Unknown,50대,Y
경기,아파트,0,0,0,F,N,Y,N,N,0,0,135,0,0,0,0,0,0,0,Unknown,60대,Y
경기,아파트,0,0,0,M,N,N,N,N,0,0,24,13,0,0,0,0,0,0,Unknown,60대,Y
서울,단독주택,0,0,0,M,N,N,N,N,0,0,58,0,0,0,0,0,0,0,Unknown,60대,Y
경북,공동주택,0,0,0,M,N,N,N,N,0,0,37,0,0,0,0,0,0,0,Unknown,50대,Y
경남,아파트,0,0,0,M,N,N,N,N,0,0,68,0,0,0,0,0,0,0,Unknown,40대,Y
경기,아파트,0,0,0,M,N,N,N,N,0,0,34,3,0,0,0,0,0,0,Unknown,10대,Y
충북,아파트,0,0,0,F,N,N,N,N,0,0,97,0,0,0,0,0,0,0,Unknown,40대,Y
경기,아파트,0,0,0,M,N,N,N,N,0,0,27,10,0,0,0,0,0,0,Unknown,40대,Y
충남,일반건물,0,0,0,M,Y,N,N,N,0,0,57,0,0,0,0,0,0,0,Unknown,50대,Y
경기,아파트,0,0,0,F,N,N,N,N,0,0,131,0,0,0,0,0,0,0,Unknown,60대,Y
경북,아파트,0,0,0,M,N,N,N,N,0,0,12,25,0,0,0,0,0,0,Unknown,50대,Y
경북,단독주택,0,0,0,M,N,N,N,N,0,0,31,6,0,0,0,0,0,0,Unknown,70대,Y
부산,아파트,0,0,0,F,N,Y,N,N,0,0,10,27,0,0,0,0,0,0,Unknown,60대,Y
경기,단독주택,0,0,0,F,N,Y,N,Unknown,1,0,143,0,0,0,0,0,0,0,광랜,40대,Y
제주,공동주택,0,0,0,F,N,N,N,Unknown,0,0,127,0,0,0,0,0,0,0,Unknown,50대,Y
서울,공동주택,0,0,0,F,Y,Y,N,Unknown,1,0,293,0,0,0,0,0,0,0,광랜,40대,N
